,related,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report
related,1.0,0.23532829012814166,0.035001616513728996,0.4365687342291258,0.15244303523573607,0.11906773097027713,0.08735324050417669,0.07010918911509614,0.09545989617239492,0.0,0.13537467028265557,0.18386764827496602,0.16147135644303118,0.06500993949975244,0.0795990813635641,0.055674158874503776,0.09637422531629243,0.11332743941455604,0.2017167931049273,0.13670878967023675,0.11367450795417902,0.12006606923828227,0.07474245051386876,0.04048987024486163,0.05414735236308113,0.035149048128940555,0.05660843400757786,0.11107512383226667,0.32208284068152354,0.15524307033643944,0.16635146979781587,0.05405055853089431,0.1665387928995879,0.07445618992427853,0.12199643124042808,0.2541253293194906
request,0.23532829012814166,1.0,-0.030668477226732757,0.4477071721295094,0.1285047442514994,0.10653447664011283,0.07126343212646717,0.05682782822967135,-0.04438531729173781,0.0,0.23951316170397427,0.35095875863215326,0.28000926638731355,0.08174053398227699,0.06264984460531878,0.027569405396219385,0.023825063696163083,0.008522536097002969,0.24395865208605874,0.021590939089032275,0.025355191843503357,0.06259475612229269,0.0105563547069237,0.019343074525628792,0.016301205131443723,0.032258139707838154,0.022702670688756355,-0.0028489219818484714,-0.015204749044165116,-0.005863842372295118,-0.046142463527056914,-0.009045052622716888,0.0068440973920026816,-0.001873412919514872,-0.015551981782883402,0.6478322395801996
offer,0.035001616513728996,-0.030668477226732757,1.0,0.06750411930061309,0.005290069041015263,0.03909715017248492,-0.000995622775576298,-0.009136776834562417,0.00030244331833116644,0.0,0.0055674340551121635,0.06428950326267743,0.004935958094086262,0.060461756688280466,0.05392610827644862,-0.0072555733636189435,-0.009402178049685002,-0.014769070021100955,0.0324785381462203,-0.013213711959772723,-0.003966395861812552,-0.015647262418522254,-0.0017063589124202711,-0.005276724965120303,-0.001565245644822607,-0.004580697805165214,-0.0021194450728829763,-0.014475543521987539,-0.014123764726539008,-0.0016496348844295939,-0.013878033034883048,-0.001543009544513236,-0.011961053621693972,-0.009703287113670217,-0.005720487724496372,0.018568119755706873
aid_related,0.4365687342291258,0.4477071721295094,0.06750411930061309,1.0,0.3491845001335256,0.2727353601729986,0.2000904637808608,0.16059141119870113,0.21865948861622816,0.0,0.31008787315413444,0.42116540617497944,0.3698646828845191,0.14891112075276922,0.18232886398528775,0.12752667451736024,0.22075384185826738,0.259586705435124,0.4620504797742568,0.1975935865470602,0.1549203850172263,0.14963879076383635,0.06980181448521504,0.085765007183045,0.10829459711423034,0.0644533293943449,0.11603573469053854,0.13122779231630335,0.20833152329829188,0.16713017458835097,0.05931241027419915,0.05325234841656759,0.0802418199568689,0.08087525717516944,0.125634271755101,0.37444263543215794
medical_help,0.15244303523573607,0.1285047442514994,0.005290069041015263,0.3491845001335256,1.0,0.34124045492632815,0.10348983611007997,0.060994752805288134,0.00594442427400668,0.0,0.1364254792155248,0.08841140826825111,0.08204803277559812,0.03956546154202084,0.021510242826190205,0.08518752262647396,0.08095344460960224,0.12004975645231367,0.08231775163564087,0.10928039258294893,0.233834258625867,0.04018360315786792,0.020425753856277,0.05324909144803968,0.16427736574713434,0.036417087171677714,0.060576602341393365,0.03462469838496608,0.09635935262897198,0.18568565240957507,0.006806388389361548,0.02669757675932052,0.015801475552621635,0.030832882030171937,0.0388136690870059,0.09892504990810272
medical_products,0.11906773097027713,0.10653447664011283,0.03909715017248492,0.2727353601729986,0.34124045492632815,1.0,0.08075650805475552,0.059731942444216674,-0.005024808984931099,0.0,0.2481653181105252,0.190922964966068,0.16421308083379202,0.17788510618289746,0.04394822354213982,0.10044256487778974,0.08178716032287038,0.059513110728818375,0.10713771020723743,0.0974900593446056,0.12171684541186628,0.03185958035010897,0.047307138827445944,0.0766178265901431,0.0994929439212134,0.04398454065546682,0.08019272029700865,0.04376405741353574,0.045975129565271014,0.09146690389509728,0.0001556502135990666,0.03365829799214253,0.004207072968138262,0.04027789559583924,0.032147488485588745,0.06249557662951818
search_and_rescue,0.08735324050417669,0.07126343212646717,-0.000995622775576298,0.2000904637808608,0.10348983611007997,0.08075650805475552,1.0,0.10162026551463998,0.04605366100885748,0.0,0.023567327687133047,0.01038395758076024,0.0368354134490685,0.012788274246454609,0.01445055118879797,0.2274130938349574,0.12796730497044148,0.11374110406465125,0.08316318417246683,0.09524439098192425,0.17995816636209938,0.09330316803985796,0.0564344144217256,0.09176221834056811,0.07474432936961467,0.023052183091391155,0.044135734279541206,0.061580954996808865,0.14346720122393172,0.1434555747056481,0.038697992936783304,0.052372451915228976,0.06572813098741878,0.06509489233787621,0.04486905173423697,0.05692639590026807
security,0.07010918911509614,0.05682782822967135,-0.009136776834562417,0.16059141119870113,0.060994752805288134,0.059731942444216674,0.10162026551463998,1.0,0.16048636636972158,0.0,-0.004798902000431231,0.0021338882373609885,0.020552643234846193,0.04814969197946758,-0.0016370973016178794,0.1477356963594838,0.10747089652932183,0.09841072408592698,0.06120666038008908,0.06563311737171354,0.14737351656487105,0.04311676527536305,0.03334611168282399,0.06710353941812959,0.041445900606136926,0.046131341697132976,0.03311870280634274,0.03267814987738065,0.07993266922358215,0.1068021647907863,0.0029647620256677415,0.05827190582726035,0.01963706993791013,0.03769669150325925,0.013225298138880022,0.048463652079247486
military,0.09545989617239492,-0.04438531729173781,0.00030244331833116644,0.21865948861622816,0.00594442427400668,-0.005024808984931099,0.04605366100885748,0.16048636636972158,1.0,0.0,-0.017459566127891315,-0.028648630561673636,-0.023454066538877938,-0.004029046223377866,-0.00117139517182012,0.024580397460612195,0.05749833077369987,0.09827061447873274,-0.0013613155691771014,0.054754788921728456,0.01998059797716422,0.006030817828908709,0.012850180577824468,0.03525562314309758,0.03049065664748424,0.02240460290926494,0.0314698421758179,0.033686854659661924,-0.0155839957630279,-0.0006359515720021269,-0.03189342215352752,0.043068019442857736,-0.019484142841932117,0.011575722764963811,0.006573751636242045,-0.03830851028339948
child_alone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
